Question,Options,Answer,Explanation
"1. Under the Fair Housing Act, which action is legally permitted?","a. Advertising property only to a special group\nb. Altering loan terms for a protected class\nc. Refusing a loan based on poor credit history\nd. False claims about rental availability","c. Refusing a loan based on poor credit history","Lenders can refuse loans based on objective financial criteria like credit score."
"2. Complaints relating to the Civil Rights Act of 1866:","a. must be taken to federal courts.\nb. are not reviewed in courts.\nc. are handled by HUD.\nd. are handled by state agencies.","a. must be taken to federal courts.","The 1866 Act does not have an administrative agency like HUD; it goes to court."
"3. Why is the Civil Rights Act of 1866 unique?","a. Broadened to protect aged.\nb. Adds welfare recipients.\nc. Contains 'choose your neighbor' provisions.\nd. No exceptions for racial discrimination.","d. No exceptions for racial discrimination.","Unlike the 1968 Act, the 1866 Act has zero exceptions when race is involved."
"4. 'Better put your house on the market before values drop!' is an example of:","a. Steering\nb. Blockbusting\nc. Redlining\nd. Fraudulent advertising","b. Blockbusting","Inducing panic selling for profit is blockbusting."
"5. Directing homeseekers toward or away from areas based on protected class:","a. blockbusting.\nb. redlining.\nc. steering.\nd. permitted under 1968 Act.","c. steering.","Steering limits a buyer's choice based on the neighborhood's makeup."
"Administrative Law Judge (ALJ)","","Appointed official for Fair Housing hearings.","Term from Unit 3 Vocab List."
"Americans with Disabilities Act (ADA)","","Requires reasonable accommodations for public/commercial.","Term from Unit 3 Vocab List."
"Blockbusting","","Inducing panic selling in a neighborhood.","Also known as panic peddling."
"Redlining","","Refusing insurance/loans in specific areas.","Typically based on racial or ethnic makeup of the area."
"Steering","","Channeling homeseekers to specific areas.","Limits housing choice and promotes segregation."
